first_category,repeat_rate_pct,num_customers
agro_industria_e_comercio,1.1494252873563218,174
alimentos,3.294117647058824,425
alimentos_bebidas,2.843601895734597,211
artes,2.1052631578947367,190
artigos_de_natal,3.278688524590164,122
audio,2.3738872403560833,337
automotivo,1.9724398811132127,3701
bebes,2.0810107766629504,2691
bebidas,4.119850187265917,267
beleza_saude,2.748894466355922,8367
brinquedos,2.3952095808383236,3674
cama_mesa_banho,4.563129002744739,8744
casa_conforto,3.6211699164345403,359
casa_construcao,2.455357142857143,448
climatizacao,4.661016949152542,236
consoles_games,2.106318956870612,997
construcao_ferramentas_construcao,2.263083451202263,707
construcao_ferramentas_iluminacao,1.3636363636363635,220
construcao_ferramentas_jardim,3.3707865168539324,178
construcao_ferramentas_seguranca,2.631578947368421,152
cool_stuff,1.930835734870317,3470
eletrodomesticos,8.74074074074074,675
eletrodomesticos_2,1.8518518518518516,216
eletronicos,1.5827922077922076,2464
eletroportateis,2.0202020202020203,594
esporte_lazer,3.8600388780894197,7202
fashion_bolsas_e_acessorios,5.771495877502945,1698
fashion_calcados,5.263157894736842,228
fashion_roupa_masculina,6.9306930693069315,101
fashion_underwear_e_moda_praia,4.385964912280701,114
ferramentas_jardim,2.9676258992805753,3336
industria_comercio_e_negocios,2.232142857142857,224
informatica_acessorios,2.8925619834710745,6292
instrumentos_musicais,1.675041876046901,597
livros_interesse_geral,2.484472049689441,483
livros_tecnicos,0.7936507936507936,252
malas_acessorios,1.9269776876267748,986
market_place,3.0303030303030303,264
moveis_cozinha_area_de_servico_jantar_e_jardim,2.1367521367521367,234
moveis_decoracao,4.593042890915231,5922
moveis_escritorio,2.127659574468085,1222
moveis_sala,4.3927648578811365,387
papelaria,2.2252497729336964,2202
pcs,0.5747126436781609,174
perfumaria,2.812186139939739,2987
pet_shop,3.002450980392157,1632
relogios_presentes,2.16287380101561,5317
sinalizacao_e_seguranca,1.4925373134328357,134
telefonia,2.5037556334501754,3994
telefonia_fixa,2.9268292682926833,205
utilidades_domesticas,2.7076140287116117,5503
